company,newsroom_page,tag,link,base
Exxon Mobil,26,a,/News/Newsroom/News-releases/2019/0307_ExxonMobil-to-sponsor-Smithsonians-traveling-exhibition-of-Green-Book-history,https://corporate.exxonmobil.com
Exxon Mobil,26,a,/News/Newsroom/News-releases/2019/0306_ExxonMobil-updates-growth-plans-significant-additional-upside-possible,https://corporate.exxonmobil.com
Exxon Mobil,26,a,/News/Newsroom/News-releases/2019/0305_ExxonMobil-to-increase-accelerate-Permian-output-to-1-million-barrels-per-day-by-2024,https://corporate.exxonmobil.com
Exxon Mobil,26,a,/News/Newsroom/News-releases/2019/0301_ExxonMobil-to-fund-polypropylene-unit-to-expand-Baton-Rouge-operations,https://corporate.exxonmobil.com
Exxon Mobil,27,a,/News/Newsroom/News-releases/2019/0301_ExxonMobil-announces-retirement-of-John-Verity-and-appointment-of-Karen-McKee,https://corporate.exxonmobil.com
Exxon Mobil,27,a,/News/Newsroom/News-releases/2019/0228_ExxonMobil-makes-natural-gas-discovery-offshore-Cyprus,https://corporate.exxonmobil.com
Exxon Mobil,27,a,/News/Newsroom/News-releases/2019/0226_ExxonMobil-adds-4_5-billion-barrels-to-reserves,https://corporate.exxonmobil.com
Exxon Mobil,27,a,/News/Newsroom/News-releases/2019/0225_ExxonMobil-employees-inspire-girls-to-pursue-engineering-fields,https://corporate.exxonmobil.com
Exxon Mobil,27,a,/News/Newsroom/News-releases/2019/0222_ExxonMobil-to-increase-Permian-profitability-through-digital-partnership-with-Microsoft,https://corporate.exxonmobil.com
Exxon Mobil,28,a,/News/Newsroom/News-releases/2019/0206_ExxonMobil-Announces-Two-New-Discoveries-Offshore-Guyana,https://corporate.exxonmobil.com
Exxon Mobil,28,a,/News/Newsroom/News-releases/2019/0205_ExxonMobil-Qatar-Petroleum-to-Proceed-with-Golden-Pass-LNG-Export-Project,https://corporate.exxonmobil.com
Exxon Mobil,28,a,/News/Newsroom/News-releases/2019/0201_ExxonMobil-Earns-20-Billion-in-2018-6-Billion-in-Fourth-Quarter,https://corporate.exxonmobil.com
Exxon Mobil,28,a,/News/Newsroom/News-releases/2019/0131_ExxonMobil-Streamlining-Upstream-Organization-to-Support-Growth-Plans,https://corporate.exxonmobil.com
Exxon Mobil,28,a,/News/Newsroom/News-releases/2019/0130_ExxonMobil-Advancing-Integrated-Gas-for-Power-Development-in-Vietnam,https://corporate.exxonmobil.com
Exxon Mobil,29,a,/News/Newsroom/News-releases/2019/0129_ExxonMobil-to-Proceed-with-New-Crude-Unit-as-Part-of-Beaumont-Refinery-Expansion,https://corporate.exxonmobil.com
Exxon Mobil,29,a,/News/Newsroom/News-releases/2019/0128_ExxonMobil-to-Release-Fourth-Quarter-and-Full-Year-2018-Financial-Results,https://corporate.exxonmobil.com
Exxon Mobil,29,a,/News/Newsroom/News-releases/2019/0123_ExxonMobil-and-Renewable-Energy-Group-Partner-w-Clariant-Advance-Cellulosic-Biofuel-Research,https://corporate.exxonmobil.com
Exxon Mobil,29,a,/News/Newsroom/News-releases/2019/0108_ExxonMobil-and-IBM-to-Advance-Energy-Sector-Application-of-Quantum-Computing,https://corporate.exxonmobil.com
Exxon Mobil,30,a,/News/Newsroom/News-releases/2019/0107_ExxonMobil-Begins-Drilling-Haimara-1-Exploration-Well-Offshore-Guyana,https://corporate.exxonmobil.com
